curr,2w,1m,3m,6m,1yr,2yr,3yr,5yr,10yr,15yr,20yr,30yr
1,0.77,0.77,0.77,0.64,0.58,0.49,0.47,0.47,0.45,0.45,0.48,0.56
2,0.1,0.1,0.1,0.1,0.13,0.16,0.18,0.2,0.25,0.22,0.22,0.23
3,0.89,0.89,0.89,0.94,1.04,0.99,0.96,0.99,0.87,0.97,0.97,0.98
