curr,2w,1m,3m,6m,1yr,2yr,3yr,5yr,10yr,15yr,20yr,30yr
1,77,77,77,64,58,49,47,47,45,45,48,56
2,10,10,10,10,13,16,18,20,25,22,22,23
3,89,89,89,94,104,99,96,99,87,97,97,98
